// author: Jannik Strötgen
// email: stroetgen@uni-hd.de
// resources automatically created; see our EMNLP 2015 paper for details:
// https://aclweb.org/anthology/D/D15/D15-1063.pdf
//
// english: "Monday","monday"
"[Ll]unes","monday"
// english: "Tuesday","tuesday"
"[Mm]artes","tuesday"
// english: "Wednesday","wednesday"
"[Mm]iércoles","wednesday"
// english: "Thursday","thursday"
"[Jj]ueves","thursday"
// english: "Friday","friday"
"[Vv]iernes","friday"
"[Ee]l viernes","friday"
// english: "Saturday","saturday"
"[Ss]ábado","saturday"
// english: "Sunday","sunday"
"[Dd]omingo","sunday"
