"1 August 2007 Baghdad bombings","[2007-08-01, 2007-08-01, 2007-08-01, 2007-08-01]"
"1 February 2008 Baghdad bombings","[2008-02-01, 2008-02-01, 2008-02-01, 2008-02-01]"
"1 July 2006 Sadr City bombing","[2006-07-01, 2006-07-01, 2006-07-01, 2006-07-01]"
"11 April 2007 Algiers bombings","[2007-04-11, 2007-04-11, 2007-04-11, 2007-04-11]"
"14 January 2012 Basra bombing","[2012-01-14, 2012-01-14, 2012-01-14, 2012-01-14]"
"14 September 2005 Baghdad bombings","[2005-09-14, 2005-09-14, 2005-09-14, 2005-09-14]"
"17 August 2010 Baghdad bombings","[2010-08-17, 2010-08-17, 2010-08-17, 2010-08-17]"
"17 June 2008 Baghdad bombing","[2008-06-17, 2008-06-17, 2008-06-17, 2008-06-17]"
"18 April 2007 Baghdad bombings","[2007-04-18, 2007-04-18, 2007-04-18, 2007-04-18]"
"18 April 2013 Baghdad bombing","[2013-04-18, 2013-04-18, 2013-04-18, 2013-04-18]"
"18 February 2007 Baghdad bombings","[2007-02-18, 2007-02-18, 2007-02-18, 2007-02-18]"
"18 July 2012 Damascus bombing","[2012-07-18, 2012-07-18, 2012-07-18, 2012-07-18]"
"19 April 2010 Peshawar bombing","[2010-04-19, 2010-04-19, 2010-04-19, 2010-04-19]"
"19 September 2010 Baghdad bombings","[2010-09-19, 2010-09-19, 2010-09-19, 2010-09-19]"
"1965 Saigon bombing","[1965-06-25, 1965-06-25, 1965-06-25, 1965-06-25]"
"1971 Balmoral Furniture Company bombing","[1971-12-11, 1971-12-11, 1971-12-11, 1971-12-11]"
"1972 Aldershot Bombing","[1972-02-22, 1972-02-22, 1972-02-22, 1972-02-22]"
"1972 Donegall Street bombing","[1972-03-20, 1972-03-20, 1972-03-20, 1972-03-20]"
"1973 Coleraine bombings","[1973-06-12, 1973-06-12, 1973-06-12, 1973-06-12]"
"1977 Moscow bombings","[1977-01-08, 1977-01-08, 1977-01-08, 1977-01-08]"
"1981 Antwerp bombing","[1981-09-20, 1981-09-20, 1981-09-20, 1981-09-20]"
"1981 Azbakiyah bombing","[1981-11-29, 1981-11-29, 1981-11-29, 1981-11-29]"
"1981 Iraqi embassy bombing","[1981-12-15, 1981-12-15, 1981-12-15, 1981-12-15]"
"1983 Beirut barracks bombing","[1983-10-23, 1983-10-23, 1983-10-23, 1983-10-23]"
"1983 Kuwait bombings","[1983-12-12, 1983-12-12, 1983-12-12, 1983-12-12]"
