"Afshar Operation","[1993-02-10, 1993-02-10, 1993-02-11, 1993-02-11]"
"April 2012 Idlib Governorate Operation","[2012-03-31, 2012-03-31, 2012-04-14, 2012-04-14]"
"Baltic Operation","[1941-06-22, 1941-06-22, 1941-07-09, 1941-07-09]"
"Belgorod-Khar'kov Offensive Operation","[1943-08-12, 1943-08-12, 1943-08-23, 1943-08-23]"
"Bering Sea Anti-Poaching Operations","[1891-06-22, 1891-06-22, 1891-10-05, 1891-10-05]"
"Borozdinovskaya operation","[2005-06-04, 2005-06-04, 2005-06-04, 2005-06-04]"
"Central Hubei Operation","[1940-11-25, 1940-11-25, 1940-11-30, 1940-11-30]"
"Dardanelles Operation","[1807-02-19, 1807-02-19, 1807-02-19, 1807-02-19]"
"East Pakistan Air Operations, 1971","[1971-12-02, 1971-12-02, 1971-12-16, 1971-12-16]"
"February 2012 Idlib Operation","[2012-03-10, 2012-03-10, 2012-03-13, 2012-03-13]"
"Gumbinnen Operation","[1944-10-16, 1944-10-16, 1944-10-27, 1944-10-27]"
"Israeli naval campaign in Operation Yoav","[1948-10-19, 1948-10-19, 1948-10-19, 1948-10-19]"
"Jinzhou Operation","[1931-12-21, 1931-12-21, 1932-01-03, 1932-01-03]"
"Kazan Operation","[1918-09-05, 1918-09-05, 1918-09-10, 1918-09-10]"
"Kosovo Operation (1944)","[1944-10-15, 1944-10-15, 1944-11-20, 1944-11-20]"
"Landing Operation on Hainan Island","[1950-03-05, 1950-03-05, 1950-05-01, 1950-05-01]"
"Lublin–Brest Offensive","[1944-07-18, 1944-07-18, 1944-09-30, 1944-09-30]"
"Lyuban Offensive Operation","[1942-01-07, 1942-01-07, 1942-04-30, 1942-04-30]"
"Manassas Station Operations (Stonewall Jackson)","[1862-08-25, 1862-08-25, 1862-08-27, 1862-08-27]"
"Military operations during the Turkish invasion of Cyprus","[1974-07-20, 1974-07-20, 1974-08-18, 1974-08-18]"
"Naval operations in the Dardanelles Campaign","[1915-02-19, 1915-02-19, 1915-03-18, 1915-03-18]"
"Naval operations of the Kamerun Campaign","[1914-08-24, 1914-08-24, 1914-09-28, 1914-09-28]"
"Operation Abercrombie","[1942-04-21, 1942-04-21, 1942-04-22, 1942-04-22]"
"Operation Able Rising Force","[2005-12-08, 2005-12-08, 2005-12-09, 2005-12-09]"
"Operation Able Warrior","[2005-08-04, 2005-08-04, 2005-08-04, 2005-08-04]"
"Operation Abstention","[1941-02-25, 1941-02-25, 1941-02-28, 1941-02-28]"
"Operation Accountability","[1993-07-25, 1993-07-25, 1993-07-31, 1993-07-31]"
"Operation Achilles","[2007-03-06, 2007-03-06, 2007-05-30, 2007-05-30]"
"Operation Acid Gambit","[1989-12-20, 1989-12-20, 1989-12-20, 1989-12-20]"
"Operation Airborne Dragon","[2003-04-07, 2003-04-07, 2003-04-07, 2003-04-07]"
"Operation Alljah","[2007-06-16, 2007-06-16, 2007-08-14, 2007-08-14]"
"Operation Amanda","[1994-10-25, 1994-10-25, 1994-10-25, 1994-10-25]"
"Operation Amherst","[1945-04-07, 1945-04-07, 1945-04-08, 1945-04-08]"
"Operation Anglo","[1942-08-31, 1942-08-31, 1942-09-18, 1942-09-18]"
"Operation Anklet","[1941-12-26, 1941-12-26, 1941-12-27, 1941-12-27]"
"Operation Apache Snow","[1969-05-10, 1969-05-10, 1969-06-07, 1969-06-07]"
"Operation Aquatint","[1942-09-12, 1942-09-12, 1942-09-13, 1942-09-13]"
"Operation Arbead II","[2007-01-18, 2007-01-18, 2007-01-18, 2007-01-18]"
"Operation Archery","[1941-12-27, 1941-12-27, 1941-12-27, 1941-12-27]"
"Operation Arctic Fox","[1941-07-01, 1941-07-01, 1941-11-17, 1941-11-17]"
"Operation Ardennes","[2007-06-17, 2007-06-17, 2007-06-17, 2007-06-17]"
"Operation Arrow","[1988-10-23, 1988-10-23, 1988-11-07, 1988-11-07]"
