"1 December 2013 Euromaidan riots","[2013-11-30, 2013-11-30, 2013-11-30, 2013-11-30]"
"10 August (French Revolution)","[1792-08-10, 1792-08-10, 1792-08-10, 1792-08-10]"
"100th Anniversary of the Independence of Albania","[2012-11-28, 2012-11-28, 2012-11-28, 2012-11-28]"
"100th Anniversary of the Republic of China","[2011-10-10, 2011-10-10, 2011-10-10, 2011-10-10]"
"100th anniversary of the Armenian Genocide","[2015-04-24, 2015-04-24, 2015-04-24, 2015-04-24]"
"10th National Congress of the Communist Party of Vietnam","[2006-04-18, 2006-04-18, 2006-04-25, 2006-04-25]"
"11 December 2013 Euromaidan assault","[2013-12-10, 2013-12-10, 2013-12-12, 2013-12-12]"
"11th National Congress of the Communist Party of Vietnam","[2011-01-12, 2011-01-12, 2011-01-19, 2011-01-19]"
"13 Vendémiaire","[1795-10-05, 1795-10-05, 1795-10-05, 1795-10-05]"
"14 July Revolution","[1958-07-14, 1958-07-14, 1958-07-14, 1958-07-14]"
"15 October 2011 global protests","[2011-10-15, 2011-10-15, 2011-10-15, 2011-10-15]"
"17 July Revolution","[1968-07-17, 1968-07-17, 1968-07-17, 1968-07-17]"
"1712 Huilliche rebellion","[1712-02-10, 1712-02-10, 1712-02-18, 1712-02-18]"
"1780 Epsom Derby","[1780-05-04, 1780-05-04, 1780-05-04, 1780-05-04]"
"1783 Great Meteor","[1783-08-18, 1783-08-18, 1783-08-18, 1783-08-18]"
"1813 crossing of the Blue Mountains","[1813-05-11, 1813-05-11, 1813-06-06, 1813-06-06]"
"1836 Grand Liverpool Steeplechase","[1836-02-29, 1836-02-29, 1836-02-29, 1836-02-29]"
"1837 Grand Liverpool Steeplechase","[1837-03-04, 1837-03-04, 1837-03-04, 1837-03-04]"
"1838 Grand Liverpool Steeplechase","[1838-03-05, 1838-03-05, 1838-03-05, 1838-03-05]"
"1839 Grand National","[1839-02-26, 1839-02-26, 1839-02-26, 1839-02-26]"
"1840 Grand National","[1840-03-05, 1840-03-05, 1840-03-05, 1840-03-05]"
"1841 Grand National","[1841-03-03, 1841-03-03, 1841-03-03, 1841-03-03]"
"1842 retreat from Kabul","[1842-01-06, 1842-01-06, 1842-01-13, 1842-01-13]"
"1844 Grand National","[1844-02-28, 1844-02-28, 1844-02-28, 1844-02-28]"
"1845 Grand National","[1845-03-05, 1845-03-05, 1845-03-05, 1845-03-05]"
"1846 Grand National","[1846-03-04, 1846-03-04, 1846-03-04, 1846-03-04]"
"1847 Grand National","[1847-03-03, 1847-03-03, 1847-03-03, 1847-03-03]"
"1848 Grand National","[1848-03-01, 1848-03-01, 1848-03-01, 1848-03-01]"
"1849 Baden Revolution","[1849-05-12, 1849-05-12, 1849-07-23, 1849-07-23]"
"1849 Grand National","[1849-02-28, 1849-02-28, 1849-02-28, 1849-02-28]"
"1850 Grand National","[1850-02-27, 1850-02-27, 1850-02-27, 1850-02-27]"
"1851 Chilean Revolution","[1851-04-20, 1851-04-20, 1851-12-31, 1851-12-31]"
"1851 Grand National","[1851-02-26, 1851-02-26, 1851-02-26, 1851-02-26]"
"1852 Grand National","[1852-03-03, 1852-03-03, 1852-03-03, 1852-03-03]"
"1853 Grand National","[1853-03-02, 1853-03-02, 1853-03-02, 1853-03-02]"
"1854 Grand National","[1854-03-01, 1854-03-01, 1854-03-01, 1854-03-01]"
"1855 Grand National","[1855-03-07, 1855-03-07, 1855-03-07, 1855-03-07]"
"1856 Grand National","[1856-02-27, 1856-02-27, 1856-02-27, 1856-02-27]"
"1857 Grand National","[1857-03-04, 1857-03-04, 1857-03-04, 1857-03-04]"
"1859 Grand National","[1859-03-02, 1859-03-02, 1859-03-02, 1859-03-02]"
"1860 Grand National","[1860-03-07, 1860-03-07, 1860-03-07, 1860-03-07]"
"1860 Great Meteor","[1860-07-20, 1860-07-20, 1860-07-20, 1860-07-20]"
"1861 Grand National","[1861-03-13, 1861-03-13, 1861-03-13, 1861-03-13]"
"1862 Grand National","[1862-03-12, 1862-03-12, 1862-03-12, 1862-03-12]"
"1863 Grand National","[1863-03-11, 1863-03-11, 1863-03-11, 1863-03-11]"
"1864 Grand National","[1864-03-09, 1864-03-09, 1864-03-09, 1864-03-09]"
"1866 Grand National","[1866-03-07, 1866-03-07, 1866-03-07, 1866-03-07]"
"1867 Grand National","[1867-03-06, 1867-03-06, 1867-03-06, 1867-03-06]"
"1868 Grand National","[1868-03-04, 1868-03-04, 1868-03-04, 1868-03-04]"
"1869 Grand National","[1869-03-03, 1869-03-03, 1869-03-03, 1869-03-03]"
"1871 Grand National","[1871-03-21, 1871-03-21, 1871-03-21, 1871-03-21]"
"1872 Cavite mutiny","[1872-01-20, 1872-01-20, 1872-01-20, 1872-01-20]"
"1872 Grand National","[1872-03-21, 1872-03-21, 1872-03-21, 1872-03-21]"
"1873 Grand National","[1873-03-27, 1873-03-27, 1873-03-27, 1873-03-27]"
"1874 Grand National","[1874-03-26, 1874-03-26, 1874-03-26, 1874-03-26]"
"1876 Grand National","[1876-03-24, 1876-03-24, 1876-03-24, 1876-03-24]"
"1877 Grand National","[1877-03-23, 1877-03-23, 1877-03-23, 1877-03-23]"
"1878 Grand National","[1878-03-29, 1878-03-29, 1878-03-29, 1878-03-29]"
"1879 Grand National","[1879-03-28, 1879-03-28, 1879-03-28, 1879-03-28]"
"1880 Grand National","[1880-03-19, 1880-03-19, 1880-03-19, 1880-03-19]"
"1881 Grand National","[1881-03-25, 1881-03-25, 1881-03-25, 1881-03-25]"
"1882 Grand National","[1882-03-24, 1882-03-24, 1882-03-24, 1882-03-24]"
"1885 Grand National","[1885-03-27, 1885-03-27, 1885-03-27, 1885-03-27]"
"1886 Grand National","[1886-03-26, 1886-03-26, 1886-03-26, 1886-03-26]"
"1887 Grand National","[1887-03-25, 1887-03-25, 1887-03-25, 1887-03-25]"
"1888 Grand National","[1888-03-23, 1888-03-23, 1888-03-23, 1888-03-23]"
"1889 Grand National","[1889-03-29, 1889-03-29, 1889-03-29, 1889-03-29]"
"1890 Grand National","[1890-03-28, 1890-03-28, 1890-03-28, 1890-03-28]"
"1891 Grand National","[1891-03-20, 1891-03-20, 1891-03-20, 1891-03-20]"
"1892 Grand National","[1892-03-20, 1892-03-20, 1892-03-20, 1892-03-20]"
"1894 Grand National","[1894-03-30, 1894-03-30, 1894-03-30, 1894-03-30]"
"1894 Rock Island railroad wreck","[1894-08-09, 1894-08-09, 1894-08-09, 1894-08-09]"
"1895 Grand National","[1895-03-29, 1895-03-29, 1895-03-29, 1895-03-29]"
"1896 Grand National","[1896-03-27, 1896-03-27, 1896-03-27, 1896-03-27]"
"1896 Manila mutiny","[1896-12-05, 1896-12-05, 1896-12-05, 1896-12-05]"
"1897 Grand National","[1897-03-26, 1897-03-26, 1897-03-26, 1897-03-26]"
"1899 Grand National","[1899-03-24, 1899-03-24, 1899-03-24, 1899-03-24]"
"18A","[2013-04-18, 2013-04-18, 2013-04-18, 2013-04-18]"
"1900 Grand National","[1900-03-30, 1900-03-30, 1900-03-30, 1900-03-30]"
"1902 Grand National","[1902-03-21, 1902-03-21, 1902-03-21, 1902-03-21]"
"1903 Grand National","[1903-03-27, 1903-03-27, 1903-03-27, 1903-03-27]"
"1904 Grand National","[1904-03-25, 1904-03-25, 1904-03-25, 1904-03-25]"
"1905 Grand National","[1905-03-31, 1905-03-31, 1905-03-31, 1905-03-31]"
"1906 Grand National","[1906-03-30, 1906-03-30, 1906-03-30, 1906-03-30]"
"1906 Washington DC train wreck","[1906-12-30, 1906-12-30, 1906-12-30, 1906-12-30]"
"1907 Grand National","[1907-03-22, 1907-03-22, 1907-03-22, 1907-03-22]"
"1907 Tiflis bank robbery","[1907-06-26, 1907-06-26, 1907-06-26, 1907-06-26]"
"1908 Grand National","[1908-03-27, 1908-03-27, 1908-03-27, 1908-03-27]"
"1910 Grand National","[1910-03-18, 1910-03-18, 1910-03-18, 1910-03-18]"
"1910 Rogers Pass avalanche","[1910-03-04, 1910-03-04, 1910-03-04, 1910-03-04]"
"1911 Grand National","[1911-03-24, 1911-03-24, 1911-03-24, 1911-03-24]"
"1912 Grand National","[1912-03-29, 1912-03-29, 1912-03-29, 1912-03-29]"
"1912 Triangular Tournament","[1912-05-27, 1912-05-27, 1912-08-22, 1912-08-22]"
"1913 Grand National","[1913-04-04, 1913-04-04, 1913-04-04, 1913-04-04]"
"1913 Great Meteor Procession","[1913-02-09, 1913-02-09, 1913-02-09, 1913-02-09]"
"1914 Grand National","[1914-03-27, 1914-03-27, 1914-03-27, 1914-03-27]"
"1915 Sinhalese Muslim riots","[1915-05-28, 1915-05-28, 1915-08-08, 1915-08-08]"
"1917 Grand National","[1917-03-21, 1917-03-21, 1917-03-21, 1917-03-21]"
"1918 Grand National","[1918-03-21, 1918-03-21, 1918-03-21, 1918-03-21]"
"1919 Fremantle Wharf riot","[1919-05-04, 1919-05-04, 1919-05-04, 1919-05-04]"
"1919 Grand National","[1919-03-28, 1919-03-28, 1919-03-28, 1919-03-28]"
