"1992 Tatarstan shooting","[1992-04-26, 1992-04-26, 1992-04-26, 1992-04-26]"
"1997 Empire State Building shooting","[1997-02-23, 1997-02-23, 1997-02-23, 1997-02-23]"
"1999 Grozny refugee convoy shooting","[1999-12-03, 1999-12-03, 1999-12-03, 1999-12-03]"
"2002 Los Angeles International Airport shooting","[2002-07-04, 2002-07-04, 2002-07-04, 2002-07-04]"
"2007 Balashikha shooting","[2007-04-23, 2007-04-23, 2007-04-23, 2007-04-23]"
"2009 Collier Township shooting","[2009-08-04, 2009-08-04, 2009-08-04, 2009-08-04]"
"2009 Landshut shooting","[2009-04-07, 2009-04-07, 2009-04-07, 2009-04-07]"
"2009 Little Rock recruiting office shooting","[2009-06-01, 2009-06-01, 2009-06-01, 2009-06-01]"
"2009 Massereene Barracks shooting","[2009-03-07, 2009-03-07, 2009-03-07, 2009-03-07]"
"2009 Pittsburgh police shootings","[2009-04-04, 2009-04-04, 2009-04-04, 2009-04-04]"
"2009 Saipan shooting","[2009-11-20, 2009-11-20, 2009-11-20, 2009-11-20]"
"2009 Tel Aviv gay centre shooting","[2009-08-01, 2009-08-01, 2009-08-01, 2009-08-01]"
"2009 shootings of Oakland police officers","[2009-03-21, 2009-03-21, 2009-03-21, 2009-03-21]"
"2010 Bratislava shooting","[2010-08-30, 2010-08-30, 2010-08-30, 2010-08-30]"
"2010 Chihuahua shootings","[2010-06-10, 2010-06-10, 2010-06-10, 2010-06-10]"
"2010 Habikino shooting","[2010-01-12, 2010-01-12, 2010-01-12, 2010-01-12]"
"2010 Lörrach hospital shooting","[2010-09-19, 2010-09-19, 2010-09-19, 2010-09-19]"
"2010 Panama City school board shootings","[2010-12-14, 2010-12-14, 2010-12-14, 2010-12-14]"
"2010 University of Alabama in Huntsville shooting","[2010-02-12, 2010-02-12, 2010-02-12, 2010-02-12]"
"2010 West Memphis police shootings","[2010-05-20, 2010-05-20, 2010-05-20, 2010-05-20]"
"2011 Copley Township, Ohio shooting","[2011-08-07, 2011-08-07, 2011-08-07, 2011-08-07]"
