"1991 siege of Kijevo","[1991-08-17, 1991-08-17, 1991-08-26, 1991-08-26]"
"2011 Hectorville siege","[2011-04-29, 2011-04-29, 2011-04-29, 2011-04-29]"
"First Siege of Missolonghi","[1822-10-25, 1822-10-25, 1822-12-31, 1822-12-31]"
"First Siege of Zaragoza","[1808-06-15, 1808-06-15, 1808-08-14, 1808-08-14]"
"Iranian Embassy siege","[1980-04-30, 1980-04-30, 1980-05-05, 1980-05-05]"
"Palace of Justice siege","[1985-11-06, 1985-11-06, 1985-11-06, 1985-11-06]"
"Second Siege of Badajoz (1811)","[1811-04-22, 1811-04-22, 1811-06-10, 1811-06-10]"
"Second Siege of Diu","[1546-04-20, 1546-04-20, 1546-11-10, 1546-11-10]"
"Second Siege of Gerona","[1808-07-24, 1808-07-24, 1808-08-16, 1808-08-16]"
"Second Siege of Missolonghi","[1823-09-20, 1823-09-20, 1823-11-30, 1823-11-30]"
"Siege of Acre (1291)","[1291-04-04, 1291-04-04, 1291-05-18, 1291-05-18]"
"Siege of Acre (1799)","[1799-03-20, 1799-03-20, 1799-05-21, 1799-05-21]"
"Siege of Adrianople (378)","[0378-08-10, 0378-08-10, 0378-08-10, 0378-08-10]"
"Siege of Aintab","[1920-04-01, 1920-04-01, 1921-02-08, 1921-02-08]"
"Siege of Algeciras (1342–44)","[1342-08-03, 1342-08-03, 1344-03-26, 1344-03-26]"
"Siege of Algeciras (1369)","[1369-07-28, 1369-07-28, 1369-07-30, 1369-07-30]"
"Siege of Alkmaar","[1573-08-21, 1573-08-21, 1573-10-08, 1573-10-08]"
"Siege of Almeida (1810)","[1810-07-25, 1810-07-25, 1810-08-27, 1810-08-27]"
"Siege of Ancona","[1815-05-05, 1815-05-05, 1815-05-30, 1815-05-30]"
"Siege of Angers","[1793-12-03, 1793-12-03, 1793-12-04, 1793-12-04]"
"Siege of Annapolis Royal (1744)","[1744-07-01, 1744-07-01, 1744-10-06, 1744-10-06]"
"Siege of Antwerp (1832)","[1832-11-15, 1832-11-15, 1832-12-23, 1832-12-23]"
"Siege of Antwerp (1914)","[1914-09-28, 1914-09-28, 1914-10-10, 1914-10-10]"
"Siege of Arai","[1516-07-11, 1516-07-11, 1516-07-11, 1516-07-11]"
"Siege of Arcot","[1751-09-23, 1751-09-23, 1751-11-14, 1751-11-14]"
