"1793–95 Tripolitanian civil war","[1793-06-30, 1793-06-30, 1795-01-20, 1795-01-20]"
"1947–48 Civil War in Mandatory Palestine","[1947-11-30, 1947-11-30, 1948-05-14, 1948-05-14]"
"1948 Arab–Israeli War","[1948-05-15, 1948-05-15, 1949-03-10, 1949-03-10]"
"1948 Palestine war","[1947-11-30, 1947-11-30, 1949-07-20, 1949-07-20]"
"1991–92 South Ossetia War","[1991-01-05, 1991-01-05, 1992-06-24, 1992-06-24]"
"2006 Lebanon War","[2006-07-12, 2006-07-12, 2006-08-14, 2006-08-14]"
"2014 anti-war protests in Russia","[2014-03-02, 2014-03-02, 2014-09-21, 2014-09-21]"
"Ahatovići massacre","[1992-06-14, 1992-06-14, 1992-06-14, 1992-06-14]"
"Al-Wadiah War","[1969-11-27, 1969-11-27, 1969-12-06, 1969-12-06]"
"Algerian Civil War","[1991-12-26, 1991-12-26, 2002-02-08, 2002-02-08]"
"Algerian War","[1954-11-01, 1954-11-01, 1962-03-19, 1962-03-19]"
"Anglo-Swedish War (1810–12)","[1810-11-17, 1810-11-17, 1812-07-18, 1812-07-18]"
"Anglo-Zulu War","[1879-01-11, 1879-01-11, 1879-07-04, 1879-07-04]"
"Angolan War of Independence","[1961-02-04, 1961-02-04, 1975-11-11, 1975-11-11]"
"Austrian Civil War","[1934-02-12, 1934-02-12, 1934-02-16, 1934-02-16]"
"Austro-Prussian War","[1866-06-14, 1866-06-14, 1866-08-23, 1866-08-23]"
"Baptist War","[1831-12-25, 1831-12-25, 1832-01-04, 1832-01-04]"
"Boshin War","[1868-01-03, 1868-01-03, 1869-05-18, 1869-05-18]"
"Bougainville Civil War","[1988-12-01, 1988-12-01, 1998-04-20, 1998-04-20]"
"Burundian Civil War","[1993-10-21, 1993-10-21, 2006-04-15, 2006-04-15]"
"Cambodian Civil War","[1967-03-11, 1967-03-11, 1975-04-17, 1975-04-17]"
"Cambodian–Vietnamese War","[1977-04-30, 1977-04-30, 1991-10-23, 1991-10-23]"
"Campaigns of the Philippine–American War","[1899-06-02, 1899-06-02, 1899-07-04, 1899-07-04]"
"Cenepa War","[1995-01-26, 1995-01-26, 1995-02-28, 1995-02-28]"
"Chaco War","[1932-09-09, 1932-09-09, 1935-06-12, 1935-06-12]"
"Chadian Civil War (2005–10)","[2005-12-18, 2005-12-18, 2010-01-15, 2010-01-15]"
"Chilean Civil War of 1891","[1891-01-16, 1891-01-16, 1891-09-18, 1891-09-18]"
"Chinese Civil War","[1927-08-01, 1927-08-01, 1950-05-01, 1950-05-01]"
"Cisplatine War","[1825-12-10, 1825-12-10, 1828-08-27, 1828-08-27]"
"Civil uprising phase of the Syrian Civil War","[2011-03-15, 2011-03-15, 2011-07-28, 2011-07-28]"
"Afghan Civil War (1989–92)","[1989-02-15, 1989-02-15, 1992-04-30, 1992-04-30]"
"Afghan Civil War (1992–96)","[1992-04-30, 1992-04-30, 1996-09-27, 1996-09-27]"
"Afghan Civil War (1996–2001)","[1996-09-27, 1996-09-27, 2001-10-07, 2001-10-07]"
"Civil war in Tajikistan","[1992-05-05, 1992-05-05, 1997-06-27, 1997-06-27]"
"Cold War (ice hockey)","[2001-10-06, 2001-10-06, 2001-10-06, 2001-10-06]"
"Communist Insurgency War","[1968-06-17, 1968-06-17, 1989-12-02, 1989-12-02]"
"Continuation War","[1941-06-25, 1941-06-25, 1944-09-19, 1944-09-19]"
"Costa Rican Civil War","[1948-03-12, 1948-03-12, 1948-04-24, 1948-04-24]"
"Croatian War of Independence","[1991-03-31, 1991-03-31, 1995-11-12, 1995-11-12]"
"Croat–Bosniak War","[1992-06-19, 1992-06-19, 1994-02-23, 1994-02-23]"
"Dano-Swedish War (1658–60)","[1658-08-05, 1658-08-05, 1660-05-26, 1660-05-26]"
"Dano-Swedish War of 1808–09","[1808-03-14, 1808-03-14, 1809-12-10, 1809-12-10]"
"Dominican Civil War","[1965-04-24, 1965-04-24, 1965-09-03, 1965-09-03]"
"Dutch–Venezuelan crisis of 1908","[1908-11-26, 1908-11-26, 1908-12-23, 1908-12-23]"
"Eastern Theater of Eelam War IV","[2006-07-21, 2006-07-21, 2007-07-11, 2007-07-11]"
"Ecuadorian–Peruvian War","[1941-07-05, 1941-07-05, 1941-07-31, 1941-07-31]"
"Eelam War I","[1983-07-23, 1983-07-23, 1987-07-29, 1987-07-29]"
"Emu War","[1932-11-02, 1932-11-02, 1932-12-10, 1932-12-10]"
"English Civil War","[1642-08-22, 1642-08-22, 1651-09-03, 1651-09-03]"
"Erie Gauge War","[1853-12-07, 1853-12-07, 1854-02-01, 1854-02-01]"
"Estonian War of Independence","[1918-11-28, 1918-11-28, 1920-02-02, 1920-02-02]"
"Ethio-Somali War","[1977-07-13, 1977-07-13, 1978-03-15, 1978-03-15]"
"Ethiopian Civil War","[1974-09-12, 1974-09-12, 1991-06-04, 1991-06-04]"
"European theatre of World War I","[1914-08-03, 1914-08-03, 1918-11-11, 1918-11-11]"
"Falklands War","[1982-04-02, 1982-04-02, 1982-06-14, 1982-06-14]"
"Father Rale's War","[1722-07-25, 1722-07-25, 1725-12-15, 1725-12-15]"
"Final offensive of the Spanish Civil War","[1939-03-05, 1939-03-05, 1939-04-01, 1939-04-01]"
"Finnish Civil War","[1918-01-27, 1918-01-27, 1918-05-15, 1918-05-15]"
"Finnish War","[1808-02-21, 1808-02-21, 1809-09-17, 1809-09-17]"
"First Balkan War","[1912-10-08, 1912-10-08, 1913-05-30, 1913-05-30]"
"First Barbary War","[1801-05-10, 1801-05-10, 1805-06-10, 1805-06-10]"
"First Boer War","[1880-12-20, 1880-12-20, 1881-03-23, 1881-03-23]"
"First Carlist War","[1833-09-29, 1833-09-29, 1839-05-13, 1839-05-13]"
"First Chechen War","[1994-12-11, 1994-12-11, 1996-08-31, 1996-08-31]"
"First Congo War","[1996-10-24, 1996-10-24, 1997-05-16, 1997-05-16]"
"First Indochina War","[1946-12-19, 1946-12-19, 1954-08-01, 1954-08-01]"
"First Opium War","[1839-03-18, 1839-03-18, 1842-08-29, 1842-08-29]"
"First Sino-Japanese War","[1894-08-01, 1894-08-01, 1895-04-17, 1895-04-17]"
"First Sudanese Civil War","[1955-08-18, 1955-08-18, 1972-03-27, 1972-03-27]"
"First War of Villmergen","[1656-01-05, 1656-01-05, 1656-03-07, 1656-03-07]"
"Flagstaff War","[1845-03-11, 1845-03-11, 1846-01-11, 1846-01-11]"
"Ghost Dance War","[1890-12-29, 1890-12-29, 1891-01-15, 1891-01-15]"
"Gran Colombia–Peru War","[1828-06-03, 1828-06-03, 1829-02-28, 1829-02-28]"
"Great Northern War","[1700-02-22, 1700-02-22, 1721-09-10, 1721-09-10]"
"Great Turkish War","[1683-07-14, 1683-07-14, 1699-01-26, 1699-01-26]"
"Greco-Italian War","[1940-10-28, 1940-10-28, 1941-04-23, 1941-04-23]"
"Greco-Turkish War (1897)","[1897-04-05, 1897-04-05, 1897-05-08, 1897-05-08]"
"Greek Civil War","[1946-03-30, 1946-03-30, 1949-10-16, 1949-10-16]"
"Greek War of Independence","[1821-02-22, 1821-02-22, 1829-09-12, 1829-09-12]"
"Guatemalan Civil War","[1960-11-13, 1960-11-13, 1996-12-29, 1996-12-29]"
"Guinea-Bissau Civil War","[1998-06-07, 1998-06-07, 1999-05-10, 1999-05-10]"
"Guinea-Bissau War of Independence","[1963-01-23, 1963-01-23, 1974-09-10, 1974-09-10]"
"Gulf War","[1990-08-02, 1990-08-02, 1991-02-28, 1991-02-28]"
"Hispano-Moroccan War (1859–60)","[1859-10-22, 1859-10-22, 1860-04-26, 1860-04-26]"
"Ifni War","[1957-10-23, 1957-10-23, 1958-06-30, 1958-06-30]"
"Indo-Pakistani Naval War of 1971","[1971-12-02, 1971-12-02, 1971-12-16, 1971-12-16]"
"Indo-Pakistani War of 1947","[1947-10-22, 1947-10-22, 1949-01-01, 1949-01-01]"
"Indo-Pakistani War of 1971","[1971-12-03, 1971-12-03, 1971-12-16, 1971-12-16]"
"Iran–Iraq War","[1980-09-22, 1980-09-22, 1988-08-20, 1988-08-20]"
"Iraq War in Anbar Province","[2003-03-20, 2003-03-20, 2011-12-07, 2011-12-07]"
"Irish Civil War","[1922-06-28, 1922-06-28, 1923-05-24, 1923-05-24]"
"Irish War of Independence","[1919-01-21, 1919-01-21, 1921-07-11, 1921-07-11]"
"Italian Campaign (World War II)","[1943-07-10, 1943-07-10, 1945-05-02, 1945-05-02]"
"Italian Civil War","[1943-09-08, 1943-09-08, 1945-05-02, 1945-05-02]"
"Italian Front (World War I)","[1915-05-23, 1915-05-23, 1918-11-06, 1918-11-06]"
"Italo-Turkish War","[1911-09-29, 1911-09-29, 1912-10-18, 1912-10-18]"
"Jementah Civil War","[1879-10-25, 1879-10-25, 1879-12-30, 1879-12-30]"
"Kettle War","[1784-10-08, 1784-10-08, 1784-10-08, 1784-10-08]"
"King Philip's War","[1675-06-20, 1675-06-20, 1678-04-12, 1678-04-12]"
"Konbaung–Hanthawaddy War","[1752-04-20, 1752-04-20, 1757-05-06, 1757-05-06]"
"Korean War","[1950-06-25, 1950-06-25, 1953-07-27, 1953-07-27]"
"Laotian Civil War","[1953-11-09, 1953-11-09, 1975-12-02, 1975-12-02]"
"Lapland War","[1944-09-15, 1944-09-15, 1945-04-25, 1945-04-25]"
"Latvian War of Independence","[1918-12-05, 1918-12-05, 1920-08-11, 1920-08-11]"
"Lebanese Civil War","[1975-04-13, 1975-04-13, 1990-10-13, 1990-10-13]"
"Lincoln County War","[1878-02-18, 1878-02-18, 1878-07-19, 1878-07-19]"
"Lost Battalion (World War I)","[1918-10-02, 1918-10-02, 1918-10-08, 1918-10-08]"
"Mexican War of Independence","[1810-09-16, 1810-09-16, 1821-09-27, 1821-09-27]"
"Mexican–American War","[1846-04-25, 1846-04-25, 1848-02-02, 1848-02-02]"
"Middle Eastern theatre of World War I","[1914-10-29, 1914-10-29, 1918-10-30, 1918-10-30]"
