// author: Annika Boldt
// email:  aboldt@stud.uni-heidelberg.de
// date:   2015-04-27
// This file contains "approximate words" and their normalized expressions
// for dates/times according to TIMEX3 format.
// For example, the normalized value of "about" is "APPROX"
// FORMAT: "approximate-word","normalized-approximate-word"
// about
"Jooksul","APPROX"
"jooksul","APPROX"
// less
"Kuni","EQUAL_OR_LESS"
"kuni","EQUAL_OR_LESS"
"Vähem kui","LESS_THAN"
"vähem kui","LESS_THAN"
//  more
"Vähemalt","EQUAL_OR_MORE"
"vähemalt","EQUAL_OR_MORE"
"Rohkem kui","MORE_THAN"
"rohkem kui","MORE_THAN"
