//******
// Copyright LIMSI-CNRS
// Author: Véronique Moriceau
// E-mail : moriceau@limsi.fr
// Date: 2013-05-27
// Governed by the CeCILL license under French law and abiding by the rules of distribution of free software.
// You can use, modify and/or redistribute the software under the terms of the CeCILL license as circulated by CEA, CNRS and INRIA at the following URL "http://www.cecill.info/licences/Licence_CeCILL_V1.1-US.txt".
//******
// This file contains "approximate words" and their normalized expressions
// for dates/times according to TIMEX3 format.
// For example, the normalized value of "about" is "APPROX"
// FORMAT: "approximate-word","normalized-approximate-word"
// about
"[Aa]pproximativement","APPROX"
"[Aa]u moins","APPROX"
"[Aa]utour de","APPROX"
"[Ee]nviron","APPROX"
"[Pp]resque","APPROX"
"[Pp]rès de","APPROX"
// less
"[Pp]as plus de","EQUAL_OR_LESS"
"[Jj]usqu'à","EQUAL_OR_LESS"
"[Mm]oins de","LESS_THAN"
"[Mm]oins que","LESS_THAN"
//  more
"[Pp]lus de","MORE_THAN"
"[Pp]lus que","MORE_THAN"
