//******
// Copyright LIMSI-CNRS
// Author: Véronique Moriceau
// E-mail : moriceau@limsi.fr
// Date: 2013-05-27
// Governed by the CeCILL license under French law and abiding by the rules of distribution of free software.
// You can use, modify and/or redistribute the software under the terms of the CeCILL license as circulated by CEA, CNRS and INRIA at the following URL "http://www.cecill.info/licences/Licence_CeCILL_V1.1-US.txt".
//******
// This file contains "weekday words" and their normalized expressions.
// For example, the normalized value of "Monday" is "monday"
// FORMAT: "weekday-word","normalized-weekday-word"
"[Ll]undis?","monday"
"[Mm]ardis?","tuesday"
"[Mm]ercredis?","wednesday"
"[Jj]eudis?","thursday"
"[Vv]endredis?","friday"
"[Ss]amedis?","saturday"
"[Dd]imanches?","sunday"
"LUNDI","monday"
"MARDI","tuesday"
"MERCREDI","wednesday"
"JEUDI","thursday"
"VENDREDI","friday"
"SAMEDI","saturday"
"DIMANCHE","sunday"
