// author: Jannik Strötgen
// email:  stroetgen@uni-hd.de
// date:   2011-06-10
// This file contains "duration-numbers words" and their normalized expressions
// according to TIMEX3 format.
// For example, the normalized value of "eins" is "1"
// FORMAT: "duration-number-word","normalized-duration-number-word"
"0","0"
"00","0"
"1","1"
"01","1"
"2","2"
"02","2"
"3","3"
"03","3"
"4","4"
"04","4"
"5","5"
"05","5"
"6","6"
"06","6"
"7","7"
"07","7"
"8","8"
"08","8"
"9","9"
"09","9"
"10","10"
"11","11"
"12","12"
"13","13"
"14","14"
"15","15"
"16","16"
"17","17"
"18","18"
"19","19"
"20","20"
"21","21"
"22","22"
"23","23"
"24","24"
"25","25"
"26","26"
"27","27"
"28","28"
"29","29"
"30","30"
"31","31"
// normal numbers
"eins","1"
"zwei","2"
"drei","3"
"vier","4"
"fünf","5"
"sechs","6"
"sieben","7"
"acht","8"
"neun","9"
"zehn","10"
"elf","11"
"zwölf","12"
"dreizehn","13"
"vierzehn","14"
"fünfzehn","15"
"sechzehn","16"
"siebzehn","17"
"achtzehn","18"
"neunzehn","19"
"zwanzig","20"
"einundzwanzig","21"
"zweiundzwanzig","22"
"dreiundzwanzig","23"
"vierundzwanzig","24"
"fünfundzwanzig","25"
"sechsundzwanzig","26"
"siebenundzwanzig","27"
"achtundzwanzig","28"
"neunundzwanzig","29"
"dreißig","30"
"einunddreißig","31"
"zweiunddreißig","32"
"dreiunddreißig","33"
"vierunddreißig","34"
"fünfunddreißig","35"
"sechsunddreißig","36"
"siebenunddreißig","37"
"achtunddreißig","38"
"neununddreißig","39"
"vierzig","40"
"einundvierzig","41"
"zweiundvierzig","42"
"dreiundvierzig","43"
"vierundvierzig","44"
"fünfundvierzig","45"
"sechsundvierzig","46"
"siebenundvierzig","47"
"achtundvierzig","48"
"neunundvierzig","49"
"fünfzig","50"
"einundfünfzig","51"
"zweiundfünfzig","52"
"dreiundfünfzig","53"
"vierundfünfzig","54"
"fünfundfünfzig","55"
"sechsundfünfzig","56"
"siebenundfünfzig","57"
"achtundfünfzig","58"
"neunundfünfzig","59"
"sechzig","60"
"einundsechzig","61"
"zweiundsechzig","62"
"dreiundsechzig","63"
"vierundsechzig","64"
"fünfundsechzig","65"
"sechsundsechzig","66"
"siebenundsechzig","67"
"achtundsechzig","68"
"neunundsechzig","69"
"siebzig","70"
"einundsiebzig","71"
"zweiundsiebzig","72"
"dreiundsiebzig","73"
"vierundsiebzig","74"
"fünfundsiebzig","75"
"sechsundsiebzig","76"
"siebenundsiebzig","77"
"achtundsiebzig","78"
"neunundsiebzig","79"
"achtzig","80"
"einundachtzig","81"
"zweiundachtzig","82"
"dreiundachtzig","83"
"vierundachtzig","84"
"fünfundachtzig","85"
"sechsundachtzig","86"
"siebenundachtzig","87"
"achtundachtzig","88"
"neunundachtzig","89"
"neunzig","90"
"einundneunzig","91"
"zweiundneunzig","92"
"dreiundneunzig","93"
"vierundneunzig","94"
"fünfundneunzig","95"
"sechsundneunzig","96"
"siebenundneunzig","97"
"achtundneunzig","98"
"neunundneunzig","99"
// UPPER CASE
"Eins","1"
"Zwei","2"
"Drei","3"
"Vier","4"
"Fünf","5"
"Sechs","6"
"Sieben","7"
"Acht","8"
"Neun","9"
"Zehn","10"
"Elf","11"
"Zwölf","12"
"Dreizehn","13"
"Vierzehn","14"
"Fünfzehn","15"
"Sechzehn","16"
"Siebzehn","17"
"Achtzehn","18"
"Neunzehn","19"
"Zwanzig","20"
"Einundzwanzig","21"
"Zweiundzwanzig","22"
"Dreiundzwanzig","23"
"Vierundzwanzig","24"
"Fünfundzwanzig","25"
"Sechsundzwanzig","26"
"Siebenundzwanzig","27"
"Achtundzwanzig","28"
"Neunundzwanzig","29"
"Dreißig","30"
"Einunddreißig","31"
"Zweiunddreißig","32"
"Dreiunddreißig","33"
"Vierunddreißig","34"
"Fünfunddreißig","35"
"Sechsunddreißig","36"
"Siebenunddreißig","37"
"Achtunddreißig","38"
"Neununddreißig","39"
"Vierzig","40"
"Einundvierzig","41"
"Zweiundvierzig","42"
"Dreiundvierzig","43"
"Vierundvierzig","44"
"Fünfundvierzig","45"
"Sechsundvierzig","46"
"Siebenundvierzig","47"
"Achtundvierzig","48"
"Neunundvierzig","49"
"Fünfzig","50"
