// author: Jannik Strötgen
// email:  stroetgen@uni-hd.de
// date:   2012-07-16
// This file contains "approximate words" and their normalized expressions
// for dates/times according to TIMEX3 format.
// For example, the normalized value of "about" is "APPROX"
// FORMAT: "approximate-word","normalized-approximate-word"
// ITALIAN
// LESS, BEFORE
"([Pp]oco )?[Pp]i(ù|u'|u) di","MORE_THAN"
"[Nn]on meno di","EQUAL_OR_MORE"
"([Aa]l|[Uu]n) massimo( di| de)?","EQUAL_OR_LESS"
"[Oo]ltre","MORE_THAN"
// APPROX
"[Cc]irca","APPROX"
"[Vv]erso","APPROX"
"[Ii]ntorno( a(l|ll[aeo']|gli|i))?","APPROX"
"[Uu]n paio di","APPROX"
// MORE, AFTER
"[Aa]ppena","LESS_THAN"
"[Mm]eno di","LESS_THAN"
"[Nn]on pi(ù|u'|u) di","EQUAL_OR_LESS"
"[Aa]lmeno","EQUAL_OR_LESS"

// ADDITIONAL LEXICALS
// LESS
"[Tt]utt'( )?al pi(ù|u'|u)","EQUAL_OR_LESS"
"([Aa]l|[Uu]n) minimo( di| de)?","EQUAL_OR_MORE"
// ABOUT
"[Aa]ll'( )?incirca","APPROX"
"[Ff]orse","APPROX"
"[Pp]i(ù|u'|u) o meno","APPROX"
"[Qq]uasi","APPROX"
// MORE
"[Cc]ome minimo","EQUAL_OR_MORE"
"[Pp]erlomeno","EQUAL_OR_MORE"
"[Pp]er lo meno","EQUAL_OR_MORE"
"[Qq]uantomeno","EQUAL_OR_MORE"
"[Qq]uanto meno","EQUAL_OR_MORE"
