// author: Antonio Cancela Díaz, Jannik Strötgen
// email:  stroetgen@uni-hd.de
// date:   2012-07-16
// This file contains "minute numbers" and their normalized expressions
// according to TIMEX3 format.
// For example, the normalized value of "1" is "01"
// FORMAT: "minute number","normalized-minute number"
// minute numbers
"00?","00"
"0?1","01"
"0?2","02"
"0?3","03"
"0?4","04"
"0?5","05"
"0?6","06"
"0?7","07"
"0?8","08"
"0?9","09"
"10","10"
"11","11"
"12","12"
"13","13"
"14","14"
"15","15"
"16","16"
"17","17"
"18","18"
"19","19"
"20","20"
"21","21"
"22","22"
"23","23"
"24","24"
"25","25"
"26","26"
"27","27"
"28","28"
"29","29"
"30","30"
"31","31"
"32","32"
"33","33"
"34","34"
"35","35"
"36","36"
"37","37"
"38","38"
"39","39"
"40","40"
"41","41"
"42","42"
"43","43"
"44","44"
"45","45"
"46","46"
"47","47"
"48","48"
"49","49"
"50","50"
"51","51"
"52","52"
"53","53"
"54","54"
"55","55"
"56","56"
"57","57"
"58","58"
"59","59"
"60","60"
// minute number words
"[Zz]ero","00"
"[Uu]no?","01"
"[Dd]ue","02"
"[Tt]re","03"
"[Qq]uattr[o']","04"
"[Cc]inque","05"
"[Ss]ei","06"
"[Ss]ette","07"
"[Oo]tt[o']","08"
"[Nn]ove","09"
"[Dd]ieci","10"
"[Uu]ndici","11"
"[Dd]odici","12"
"[Tt]redici","13"
"[Qq]uatt[o']rdici","14"
"[Qq]uindici","15"
"[Ss]edici","16"
"[Dd]iciassette","17"
"[Dd]iciott[o']","18"
"[Dd]iciannove","19"
"[Vv]enti","20"
"[Vv]entuno","21"
"[Vv]entidue","22"
"[Vv]entitre","23"
"[Vv]entiquattr[o']","24"
"[Vv]enticinque","25"
"[Vv]entisei","26"
"[Vv]entisette","27"
"[Vv]entott[o']","28"
"[Vv]entinove","29"
"[Tt]renta","30"
"[Tt]rentuno","31"
"[Tt]rentadue","32"
"[Tt]rentatre","33"
"[Tt]rentaquattr[o']","34"
"[Tt]rentacinque","35"
"[Tt]rentasei","36"
"[Tt]rentasette","37"
"[Tt]rentott[o']","38"
"[Tt]rentanove","39"
"[Qq]uaranta","40"
"[Qq]uarantuno","41"
"[Qq]uarantadue","42"
"[Qq]uarantatre","43"
"[Qq]uarantaquattr[o']","44"
"[Qq]uarantacinque","45"
"[Qq]uarantasei","46"
"[Qq]uarantasette","47"
"[Qq]uarantott[o']","48"
"[Qq]quarantanove","49"
"[Cc]inquanta","50"
"[Cc]inquantuno","51"
"[Cc]inquantadue","52"
"[Cc]inquantatre","53"
"[Cc]inquantaquattr[o']","54"
"[Cc]inquantacinque","55"
"[Cc]inquantasei","56"
"[Cc]inquantasette","57"
"[Cc]inquantott[o']","58"
"[Cc]inquantanove","59"
"[Ss]esanta","60"
