// author: Zunsik Lim, Antonio Cancela Díaz, Jannik Strötgen
// email:  stroetgen@uni-hd.de
// date:   2015-04-08
// This file contains "minute numbers" and their normalized expressions
// according to TIMEX3 format.
// For example, the normalized value of "1" is "01"
// FORMAT: "minute number","normalized-minute number"
// minute numbers
"00?","00"
"0?1","01"
"0?2","02"
"0?3","03"
"0?4","04"
"0?5","05"
"0?6","06"
"0?7","07"
"0?8","08"
"0?9","09"
"10","10"
"11","11"
"12","12"
"13","13"
"14","14"
"15","15"
"16","16"
"17","17"
"18","18"
"19","19"
"20","20"
"21","21"
"22","22"
"23","23"
"24","24"
"25","25"
"26","26"
"27","27"
"28","28"
"29","29"
"30","30"
"31","31"
"32","32"
"33","33"
"34","34"
"35","35"
"36","36"
"37","37"
"38","38"
"39","39"
"40","40"
"41","41"
"42","42"
"43","43"
"44","44"
"45","45"
"46","46"
"47","47"
"48","48"
"49","49"
"50","50"
"51","51"
"52","52"
"53","53"
"54","54"
"55","55"
"56","56"
"57","57"
"58","58"
"59","59"
"60","60"
// minute number words
"[Zz]ero","00"
"[Uu]m","01"
"[Uu]m par de","02"
"[Dd]ois","02"
"[Tt]três","03"
"[Qu]uatro","04"
"[Cc]inco","05"
"[Ss]eis","06"
"[Ss]ete","07"
"[Oo]ito","08"
"[Nn]ove","09"
"[Dd]ez","10"
"[Oo]nze","11"
"[Dd]oze","12"
"[Tt]reze","13"
"[Qu]uatorze","14"
"[Qq]uinze","15"
"[Dd]ezesseis","16"
"[Dd]ezessete","17"
"[Dd]ezoito","18"
"[Dd]ezenove","19"
"[Vv]inte","20"
"[Vv]inte e um","21"
"[Vv]inte e dois","22"
"[Vv]inte e três","23"
"[Vv]inte e quatro","24"
"[Vv]inte e cinco","25"
"[Vv]inte e seis","26"
"[Vv]inte e sete","27"
"[Vv]inte e oito","28"
"[Vv]inte e nove","29"
"[Tt]rinta","30"
"[Tt]rinta e um","31"
"[Tt]rinta e dois","32"
"[Tt]rinta e três","33"
"[Tt]rinta e quatro","34"
"[Tt]rinta e cinco","35"
"[Tt]rinta e seis","36"
"[Tt]rinta e sete","37"
"[Tt]rinta e oito","38"
"[Tt]rinta e nove","39"
"[Qq]uarenta","40"
"[Qq]uarenta e um","41"
"[Qq]uarenta e dois","42"
"[Qq]uarenta e três","43"
"[Qq]uarenta e quatro","44"
"[Qq]uarenta e cinco","45"
"[Qq]uarenta e seis","46"
"[Qq]uarenta e sete","47"
"[Qq]uarenta e oito","48"
"[Qq]uarenta e nove","49"
"[Cc]inqüenta","50"
"[Cc]inqüenta e um","51"
"[Cc]inqüenta e dois","52"
"[Cc]inqüenta e três","53"
"[Cc]inqüenta e quatro","54"
"[Cc]inqüenta e cinco","55"
"[Cc]inqüenta e seis","56"
"[Cc]inqüenta e sete","57"
"[Cc]inqüenta e oito","58"
"[Cc]inqüenta e nove","59"
"[Ss]essenta","60"
