// author: Jannik Strötgen
// email: stroetgen@uni-hd.de
// date:  2011-06-10
// This file contains "duration numbers" and their normalized expressions
// according to TIMEX3 format.
// For example, the normalized value of "one" is "1"
// FORMAT: "duration-number","normalized-duration-number"
"واحد[هة]?","01"
"[اإ]ثن[ت]?[اي]ن","02"
"ثلاث[هة]?","03"
"[اأ]ربع[هة]?","04"
"خمس[هة]?","05"
"ست[هة]?","06"
"سبع[هة]?","07"
"ثماني[هة]?","08"
"تسع[هة]?","09"
"عشر[هة]?","10"
"[أاإ]حد[ى]?[\s]?عشر[هة]?","11"
"[اإ]ثن[ت]?[اي][\s]?عشر[هة]?","12"
"ثلاث[هة]?[\s]?عشر[هة]?","13"
"[أا]ربع[هة]?[\s]?عشر[هة]?","14"
"خمس[هة]?[\s]?عشر[هة]?","15"
"ست[هة]?[\s]?عشر[هة]?","16"
"سبع[هة]?[\s]?عشر[هة]?","17"
"ثماني[هة]?[\s]?عشر[هة]?","18"
"تسع[هة]?[\s]?عشر[هة]?","19"
"عشر[وي]ن","20"
"[اإ]حدى[\s]?و[\s]?عشر[وي]ن","21"
"واحد[\s]?و[\s]?عشر[وي]ن","21"
"[اإ]ثن[ت]?[اي][ن]?[\s]?و[\s]?عشر[وي]ن","22"
"ثلاث[هة]?[\s]?و[\s]?عشر[وي]ن","23"
"[أا]ربع[هة]?[\s]?و[\s]?عشر[وي]ن","24"
"خمس[هة]?[\s]?و[\s]?عشر[وي]ن","25"
"ست[هة]?[\s]?و[\s]?عشر[وي]ن","26"
"سبع[هة]?[\s]?و[\s]?عشر[وي]ن","27"
"ثماني[هة]?[\s]?و[\s]?عشر[وي]ن","28"
"تسع[هة]?[\s]?و[\s]?عشر[وي]ن","29"
"ثلاث[وي]ن","30"
"[اإ]حدى[\s]?و[\s]?ثلاث[وي]ن","31"
"واحد[\s]?و[\s]?ثلاث[وي]ن","31"
"[اإ]ثن[ت]?[اي][ن]?[\s]?و[\s]?ثلاث[وي]ن","32"
"ثلاث[هة]?[\s]?و[\s]?ثلاث[وي]ن","33"
"[أا]ربع[هة]?[\s]?و[\s]?ثلاث[وي]ن","34"
"خمس[هة]?[\s]?و[\s]?ثلاث[وي]ن","35"
"ست[هة]?[\s]?و[\s]?ثلاث[وي]ن","36"
"سبع[هة]?[\s]?و[\s]?ثلاث[وي]ن","37"
"ثماني[هة]?[\s]?و[\s]?ثلاث[وي]ن","38"
"تسع[هة]?[\s]?و[\s]?ثلاث[وي]ن","39"
"[اأ]ربع[وي]ن","40"
"[اإ]حدى[\s]?و[\s]?[اأ]ربع[وي]ن","41"
"واحد[\s]?و[\s]?[اأ]ربع[وي]ن","41"
"[اإ]ثن[ت]?[اي][ن]?[\s]?و[\s]?[اأ]ربع[وي]ن","42"
"ثلاث[هة]?[\s]?و[\s]?[اأ]ربع[وي]ن","43"
"[أا]ربع[هة]?[\s]?و[\s]?[اأ]ربع[وي]ن","44"
"خمس[هة]?[\s]?و[\s]?[اأ]ربع[وي]ن","45"
"ست[هة]?[\s]?و[\s]?[اأ]ربع[وي]ن","46"
"سبع[هة]?[\s]?و[\s]?[اأ]ربع[وي]ن","47"
"ثماني[هة]?[\s]?و[\s]?[اأ]ربع[وي]ن","48"
"تسع[هة]?[\s]?و[\s]?[اأ]ربع[وي]ن","49"
"خمس[وي]ن","50"
"[اإ]حدى[\s]?و[\s]?خمس[وي]ن","51"
"واحد[\s]?و[\s]?خمس[وي]ن","51"
"[اإ]ثن[ت]?[اي][ن]?[\s]?و[\s]?خمس[وي]ن","52"
"ثلاث[هة]?[\s]?و[\s]?خمس[وي]ن","53"
"[أا]ربع[هة]?[\s]?و[\s]?خمس[وي]ن","54"
"خمس[هة]?[\s]?و[\s]?خمس[وي]ن","55"
"ست[هة]?[\s]?و[\s]?خمس[وي]ن","56"
"سبع[هة]?[\s]?و[\s]?خمس[وي]ن","57"
"ثماني[هة]?[\s]?و[\s]?خمس[وي]ن","58"
"تسع[هة]?[\s]?و[\s]?خمس[وي]ن","59"
"ست[وي]ن","60"
"[اإ]حدى[\s]?و[\s]?ست[وي]ن","61"
"واحد[\s]?و[\s]?ست[وي]ن","61"
"[اإ]ثن[ت]?[اي][ن]?[\s]?و[\s]?ست[وي]ن","62"
"ثلاث[هة]?[\s]?و[\s]?ست[وي]ن","63"
"[أا]ربع[هة]?[\s]?و[\s]?ست[وي]ن","64"
"خمس[هة]?[\s]?و[\s]?ست[وي]ن","65"
"ست[هة]?[\s]?و[\s]?ست[وي]ن","66"
"سبع[هة]?[\s]?و[\s]?ست[وي]ن","67"
"ثماني[هة]?[\s]?و[\s]?ست[وي]ن","68"
"تسع[هة]?[\s]?و[\s]?ست[وي]ن","69"
"سبع[وي]ن","70"
