// author: Jannik Strötgen
// email: stroetgen@uni-hd.de
// resources automatically created; see our EMNLP 2015 paper for details:
// https://aclweb.org/anthology/D/D15/D15-1063.pdf
//
// english: "Monday","monday"
"Aŋpetutokaheya","monday"
// english: "Tuesday","tuesday"
"Aŋpetuinoŋpa","tuesday"
// english: "Wednesday","wednesday"
"Aŋpetuiyamni","wednesday"
// english: "Thursday","thursday"
"Aŋpetuitopa","thursday"
// english: "Friday","friday"
"Aŋpetu Izaptaŋ","friday"
// english: "Saturday","saturday"
"Owaŋkayužažapi","saturday"
// english: "Sunday","sunday"
"Aŋpetuwakaŋ","sunday"
