"10 June 2013 Iraq attacks","[2013-06-10, 2013-06-10, 2013-06-10, 2013-06-10]"
"10 May 2010 Iraq attacks","[2010-05-10, 2010-05-10, 2010-05-10, 2010-05-10]"
"13 December 2013 Iraq attacks","[2013-12-13, 2013-12-13, 2013-12-13, 2013-12-13]"
"15 August 2011 Iraq attacks","[2011-08-15, 2011-08-15, 2011-08-15, 2011-08-15]"
"16 August 2012 Iraq attacks","[2012-08-16, 2012-08-16, 2012-08-16, 2012-08-16]"
"16 June 2013 Iraq attacks","[2013-06-16, 2013-06-16, 2013-06-16, 2013-06-16]"
"19 March 2013 Iraq attacks","[2013-03-19, 2013-03-19, 2013-03-19, 2013-03-19]"
"1965 Highway 101 sniper attack","[1965-04-25, 1965-04-25, 1965-04-25, 1965-04-25]"
"1974 Beit She'an attack","[1974-11-19, 1974-11-19, 1974-11-19, 1974-11-19]"
"1974 Nahariya attack","[1974-06-24, 1974-06-24, 1974-06-25, 1974-06-25]"
"1979 Nahariya attack","[1979-04-22, 1979-04-22, 1979-04-22, 1979-04-22]"
"1980 Ispaster attack","[1980-02-01, 1980-02-01, 1980-02-01, 1980-02-01]"
"1980 Zarautz attack","[1980-11-03, 1980-11-03, 1980-11-03, 1980-11-03]"
"1983 Turkish embassy attack in Lisbon","[1983-07-27, 1983-07-27, 1983-07-27, 1983-07-27]"
"1984 PKK attacks","[1984-08-15, 1984-08-15, 1984-08-15, 1984-08-15]"
"1984 Rajneeshee bioterror attack","[1984-08-29, 1984-08-29, 1984-10-10, 1984-10-10]"
"1985 Newry mortar attack","[1985-02-28, 1985-02-28, 1985-02-28, 1985-02-28]"
"1985 Turkish embassy attack in Ottawa","[1985-03-12, 1985-03-12, 1985-03-12, 1985-03-12]"
"1990 Sabadell attack","[1990-12-08, 1990-12-08, 1990-12-08, 1990-12-08]"
"1992 Madrid attack","[1992-02-06, 1992-02-06, 1992-02-06, 1992-02-06]"
"1992 attack on Israeli embassy in Buenos Aires","[1992-03-17, 1992-03-17, 1992-03-17, 1992-03-17]"
"1995 Shali cluster bomb attack","[1995-01-03, 1995-01-03, 1995-01-03, 1995-01-03]"
"1998 Temple of the Tooth attack","[1998-01-25, 1998-01-25, 1998-01-25, 1998-01-25]"
"20 March 2012 Iraq attacks","[2012-03-20, 2012-03-20, 2012-03-20, 2012-03-20]"
"20 September Samarra attack","[2013-09-20, 2013-09-20, 2013-09-20, 2013-09-20]"
"2000 MI6 attack","[2000-09-20, 2000-09-20, 2000-09-20, 2000-09-20]"
"2001 Angola train attack","[2001-08-10, 2001-08-10, 2001-08-10, 2001-08-10]"
"2001 Immanuel bus attack","[2001-12-12, 2001-12-12, 2001-12-12, 2001-12-12]"
"2001 Odisha Assembly attack","[2001-12-16, 2001-12-16, 2001-12-16, 2001-12-16]"
