"Battle at Borodino Field","[1941-10-13, 1941-10-13, 1942-01-18, 1942-01-18]"
"Battle at Chignecto","[1750-09-03, 1750-09-03, 1750-09-03, 1750-09-03]"
"Battle at Nicosia Hospital","[1956-08-31, 1956-08-31, 1956-08-31, 1956-08-31]"
"Battle at Port-la-Joye","[1746-07-11, 1746-07-11, 1746-07-11, 1746-07-11]"
"Battle at Springmartin","[1972-05-13, 1972-05-13, 1972-05-14, 1972-05-14]"
"Battle at The Lizard","[1707-10-21, 1707-10-21, 1707-10-21, 1707-10-21]"
"Battle for Castle Itter","[1945-05-05, 1945-05-05, 1945-05-05, 1945-05-05]"
"Battle for Cebu City","[1945-03-26, 1945-03-26, 1945-04-08, 1945-04-08]"
"Battle for Central Somalia (2009)","[2009-05-11, 2009-05-11, 2009-10-01, 2009-10-01]"
"Battle for Height 776","[2000-02-29, 2000-02-29, 2000-03-01, 2000-03-01]"
"Battle for Henderson Field","[1942-10-23, 1942-10-23, 1942-10-26, 1942-10-26]"
"Battle for Hill 3234","[1988-01-07, 1988-01-07, 1988-01-08, 1988-01-08]"
"Battle for Jalibah Airfield","[1991-02-27, 1991-02-27, 1991-02-27, 1991-02-27]"
"Battle for No.3 Post","[1915-05-28, 1915-05-28, 1915-05-30, 1915-05-30]"
"Battle for Pangwa","[2012-04-30, 2012-04-30, 2012-04-30, 2012-04-30]"
"Battle for The Hague","[1940-05-10, 1940-05-10, 1940-05-10, 1940-05-10]"
"Battle for Velikiye Luki","[1942-11-19, 1942-11-19, 1943-01-16, 1943-01-16]"
"Battle for the A-9 highway","[2000-03-27, 2000-03-27, 2000-04-20, 2000-04-20]"
"Battle for the Río San Juan de Nicaragua","[1762-07-26, 1762-07-26, 1762-08-03, 1762-08-03]"
"Battle in Berlin","[1945-04-23, 1945-04-23, 1945-05-02, 1945-05-02]"
"Battle of 4 May","[1823-05-04, 1823-05-04, 1823-05-04, 1823-05-04]"
"Battle of Aachen","[1944-10-02, 1944-10-02, 1944-10-21, 1944-10-21]"
"Battle of Aanandapuram","[2009-03-29, 2009-03-29, 2009-04-05, 2009-04-05]"
"Battle of Abancay","[1537-07-12, 1537-07-12, 1537-07-12, 1537-07-12]"
"Battle of Abensberg","[1809-04-20, 1809-04-20, 1809-04-20, 1809-04-20]"
"Battle of Aberdeen (1644)","[1644-09-13, 1644-09-13, 1644-09-13, 1644-09-13]"
"Battle of Aberdeen (1646)","[1646-05-14, 1646-05-14, 1646-05-14, 1646-05-14]"
"Battle of Abtao","[1866-02-07, 1866-02-07, 1866-02-07, 1866-02-07]"
"Battle of Abu Ghraib","[2005-04-02, 2005-04-02, 2005-04-02, 2005-04-02]"
"Battle of Abu Klea","[1885-01-17, 1885-01-17, 1885-01-17, 1885-01-17]"
"Battle of Abu Tellul","[1918-07-14, 1918-07-14, 1918-07-14, 1918-07-14]"
"Battle of Abu-Ageila (1967)","[1967-06-05, 1967-06-05, 1967-06-06, 1967-06-06]"
"Battle of Abukir (1799)","[1799-07-25, 1799-07-25, 1799-07-25, 1799-07-25]"
"Battle of Acapulco","[1863-01-10, 1863-01-10, 1863-01-12, 1863-01-12]"
"Battle of Achuapa","[1930-12-31, 1930-12-31, 1930-12-31, 1930-12-31]"
"Battle of Acosta","[1869-08-16, 1869-08-16, 1869-08-16, 1869-08-16]"
"Battle of Ad Decimum","[0533-09-13, 0533-09-13, 0533-09-13, 0533-09-13]"
"Battle of Ad-Dawrah","[1991-01-18, 1991-01-18, 1991-01-19, 1991-01-19]"
