"1896 Atlantic City rail crash","[1896-07-30, 1896-07-30, 1896-07-30, 1896-07-30]"
"1912 Brooklands Flanders Monoplane crash","[1912-05-13, 1912-05-13, 1912-05-13, 1912-05-13]"
"1923 Daimler Airway de Havilland DH.34 crash","[1923-09-14, 1923-09-14, 1923-09-14, 1923-09-14]"
"1924 Imperial Airways de Havilland DH.34 crash","[1924-12-24, 1924-12-24, 1924-12-24, 1924-12-24]"
"1927 KLM Fokker F.VIII crash","[1927-08-22, 1927-08-22, 1927-08-22, 1927-08-22]"
"1928 Imperial Airways Vickers Vulcan crash","[1928-07-13, 1928-07-13, 1928-07-13, 1928-07-13]"
"1929 Imperial Airways Handley Page W.10 crash","[1929-06-17, 1929-06-17, 1929-06-17, 1929-06-17]"
"1933 Imperial Airways Diksmuide crash","[1933-03-28, 1933-03-28, 1933-03-28, 1933-03-28]"
"1933 Imperial Airways Ruysselede crash","[1933-12-30, 1933-12-30, 1933-12-30, 1933-12-30]"
"1934 Air France Wibault 282T crash","[1934-05-09, 1934-05-09, 1934-05-09, 1934-05-09]"
"1934 Hillman's Airways de Havilland Dragon Rapide crash","[1934-10-02, 1934-10-02, 1934-10-02, 1934-10-02]"
"1934 London, Scottish & Provincial Airways Airspeed Courier crash","[1934-09-29, 1934-09-29, 1934-09-29, 1934-09-29]"
"1935 SABENA Savoia-Marchetti S.73 crash","[1935-12-10, 1935-12-10, 1935-12-10, 1935-12-10]"
"1938 Kyeema crash","[1938-10-25, 1938-10-25, 1938-10-25, 1938-10-25]"
"1938 Yosemite TWA crash","[1938-03-01, 1938-03-01, 1938-03-01, 1938-03-01]"
"1939 Pan Am Sikorsky S-43 crash","[1939-08-13, 1939-08-13, 1939-08-13, 1939-08-13]"
"1940 Deutsche Lufthansa Ju 90 crash","[1940-11-08, 1940-11-08, 1940-11-08, 1940-11-08]"
"1943 Gibraltar B-24 crash","[1943-07-04, 1943-07-04, 1943-07-04, 1943-07-04]"
