"1909 Cherry Mine disaster","[1909-11-13, 1909-11-13, 1909-11-13, 1909-11-13]"
"1938 Jersey Airport disaster","[1938-11-04, 1938-11-04, 1938-11-04, 1938-11-04]"
"1938 Santa Ana air show disaster","[1938-07-24, 1938-07-24, 1938-07-24, 1938-07-24]"
"1940 Canberra air disaster","[1940-08-13, 1940-08-13, 1940-08-13, 1940-08-13]"
"1947 Centralia mine disaster","[1947-03-25, 1947-03-25, 1947-03-25, 1947-03-25]"
"1948 Gatow air disaster","[1948-04-05, 1948-04-05, 1948-04-05, 1948-04-05]"
"1950 Sverdlovsk air disaster","[1950-01-05, 1950-01-05, 1950-01-05, 1950-01-05]"
"1951 LOT Li-2 Tuszyn air disaster","[1951-11-15, 1951-11-15, 1951-11-15, 1951-11-15]"
"1954 Prestwick air disaster","[1954-12-25, 1954-12-25, 1954-12-25, 1954-12-25]"
"1956 Scottish Airlines Malta air disaster","[1956-02-18, 1956-02-18, 1956-02-18, 1956-02-18]"
"1967 Nicosia Britannia disaster","[1967-04-20, 1967-04-20, 1967-04-20, 1967-04-20]"
"1972 Königs Wusterhausen air disaster","[1972-08-14, 1972-08-14, 1972-08-14, 1972-08-14]"
"1987 Alianza Lima air disaster","[1987-12-08, 1987-12-08, 1987-12-08, 1987-12-08]"
"1993 Zambia national football team air disaster","[1993-04-27, 1993-04-27, 1993-04-27, 1993-04-27]"
"1997 Israeli helicopter disaster","[1997-02-04, 1997-02-04, 1997-02-04, 1997-02-04]"
"2004 Sri Lanka tsunami-rail disaster","[2004-12-26, 2004-12-26, 2004-12-26, 2004-12-26]"
"2006 West Bengal train disaster","[2006-11-20, 2006-11-20, 2006-11-20, 2006-11-20]"
"2008 Villa Canales bus disaster","[2008-02-29, 2008-02-29, 2008-02-29, 2008-02-29]"
"2009 Thekkady boat disaster","[2009-06-30, 2009-06-30, 2009-06-30, 2009-06-30]"
"2011 Lokomotiv Yaroslavl air disaster","[2011-09-07, 2011-09-07, 2011-09-07, 2011-09-07]"
"2013 San Martin Jilotepeque bus disaster","[2013-09-09, 2013-09-09, 2013-09-09, 2013-09-09]"
"2014 Andaman boat disaster","[2014-01-26, 2014-01-26, 2014-01-26, 2014-01-26]"
"2014 Hirakud boat disaster","[2014-02-09, 2014-02-09, 2014-02-09, 2014-02-09]"
"2014 Stade Tata Raphaël disaster","[2014-05-11, 2014-05-11, 2014-05-11, 2014-05-11]"
"Abercarn colliery disaster","[1878-09-11, 1878-09-11, 1878-09-11, 1878-09-11]"
"Aberfan disaster","[1966-10-21, 1966-10-21, 1966-10-21, 1966-10-21]"
"Accident rating of the Fukushima Daiichi nuclear disaster","[2011-03-11, 2011-03-11, 2011-03-11, 2011-03-11]"
"Agadir air disaster","[1975-08-03, 1975-08-03, 1975-08-03, 1975-08-03]"
"Altamirano rail disaster","[1964-02-01, 1964-02-01, 1964-02-01, 1964-02-01]"
"Armagh rail disaster","[1889-06-12, 1889-06-12, 1889-06-12, 1889-06-12]"
"Ashtabula River Railroad Disaster","[1876-12-29, 1876-12-29, 1876-12-29, 1876-12-29]"
"Avondale Mine Disaster","[1869-09-06, 1869-09-06, 1869-09-06, 1869-09-06]"
"Bath School disaster","[1927-05-18, 1927-05-18, 1927-05-18, 1927-05-18]"
"Benavidez rail disaster","[1970-02-01, 1970-02-01, 1970-02-01, 1970-02-01]"
"Bhopal disaster","[1984-12-02, 1984-12-02, 1984-12-03, 1984-12-03]"
"Boston Molasses Disaster","[1919-01-15, 1919-01-15, 1919-01-15, 1919-01-15]"
