"1972 Andes flight disaster","[1972-10-13, 1972-10-13, 1972-12-23, 1972-12-23]"
"ADC Airlines Flight 53","[2006-10-29, 2006-10-29, 2006-10-29, 2006-10-29]"
"ADC Airlines Flight 86","[1996-11-07, 1996-11-07, 1996-11-07, 1996-11-07]"
"AIRES Flight 8250","[2010-08-16, 2010-08-16, 2010-08-16, 2010-08-16]"
"ALM Flight 980","[1970-05-02, 1970-05-02, 1970-05-02, 1970-05-02]"
"AVAir Flight 3378","[1988-02-19, 1988-02-19, 1988-02-19, 1988-02-19]"
"Adam Air Flight 172","[2007-02-21, 2007-02-21, 2007-02-21, 2007-02-21]"
"Adam Air Flight 574","[2007-01-01, 2007-01-01, 2007-01-01, 2007-01-01]"
"Advance Airlines Flight 4210","[1980-02-21, 1980-02-21, 1980-02-21, 1980-02-21]"
"Aer Lingus Flight 164","[1981-05-02, 1981-05-02, 1981-05-02, 1981-05-02]"
"Aer Lingus Flight 712","[1968-03-24, 1968-03-24, 1968-03-24, 1968-03-24]"
"Aero Caribbean Flight 883","[2010-11-04, 2010-11-04, 2010-11-04, 2010-11-04]"
"Aero Flight 311","[1961-01-03, 1961-01-03, 1961-01-03, 1961-01-03]"
"Aero Trasporti Italiani Flight 460","[1987-10-15, 1987-10-15, 1987-10-15, 1987-10-15]"
"AeroUnion Flight 302","[2010-04-13, 2010-04-13, 2010-04-13, 2010-04-13]"
"Aerocaribe Flight 7831","[2000-07-08, 2000-07-08, 2000-07-08, 2000-07-08]"
"Aerocon Flight 238","[2011-09-06, 2011-09-06, 2011-09-06, 2011-09-06]"
"Aeroflot Flight 1491","[1972-05-18, 1972-05-18, 1972-05-18, 1972-05-18]"
"Aeroflot Flight 1691","[1979-03-17, 1979-03-17, 1979-03-17, 1979-03-17]"
"Aeroflot Flight 2003","[1976-01-03, 1976-01-03, 1976-01-03, 1976-01-03]"
"Aeroflot Flight 2230","[1967-11-16, 1967-11-16, 1967-11-16, 1967-11-16]"
"Aeroflot Flight 2306","[1986-07-02, 1986-07-02, 1986-07-02, 1986-07-02]"
"Aeroflot Flight 244","[1970-10-15, 1970-10-15, 1970-10-15, 1970-10-15]"
"Aeroflot Flight 3352","[1984-10-11, 1984-10-11, 1984-10-11, 1984-10-11]"
"Aeroflot Flight 3519","[1984-12-23, 1984-12-23, 1984-12-23, 1984-12-23]"
"Aeroflot Flight 3603","[1981-11-17, 1981-11-17, 1981-11-17, 1981-11-17]"
"Aeroflot Flight 3739 (1988)","[1988-03-08, 1988-03-08, 1988-03-08, 1988-03-08]"
"Aeroflot Flight 3932","[1973-09-30, 1973-09-30, 1973-09-30, 1973-09-30]"
"Aeroflot Flight 411","[1982-07-06, 1982-07-06, 1982-07-06, 1982-07-06]"
"Aeroflot Flight 418","[1976-06-01, 1976-06-01, 1976-06-01, 1976-06-01]"
"Aeroflot Flight 505","[1987-01-16, 1987-01-16, 1987-01-16, 1987-01-16]"
"Aeroflot Flight 528","[1987-06-19, 1987-06-19, 1987-06-19, 1987-06-19]"
"Aeroflot Flight 593","[1994-03-23, 1994-03-23, 1994-03-23, 1994-03-23]"
"Aeroflot Flight 6502","[1986-10-20, 1986-10-20, 1986-10-20, 1986-10-20]"
"Aeroflot Flight 6833","[1983-11-18, 1983-11-18, 1983-11-18, 1983-11-18]"
"Aeroflot Flight 721","[1964-09-02, 1964-09-02, 1964-09-02, 1964-09-02]"
"Aeroflot Flight 7425","[1985-07-10, 1985-07-10, 1985-07-10, 1985-07-10]"
