"1982 invasion of the Falkland Islands","[1982-04-02, 1982-04-02, 1982-04-02, 1982-04-02]"
"2003 invasion of Iraq","[2003-03-20, 2003-03-20, 2003-05-01, 2003-05-01]"
"Allied invasion of Italy","[1943-09-03, 1943-09-03, 1943-09-16, 1943-09-16]"
"Allied invasion of Sicily","[1943-07-09, 1943-07-09, 1943-08-17, 1943-08-17]"
"Anglo-Russian invasion of Holland","[1799-08-27, 1799-08-27, 1799-11-19, 1799-11-19]"
"Anglo-Soviet invasion of Iran","[1941-08-25, 1941-08-25, 1941-09-17, 1941-09-17]"
"Bay of Pigs Invasion","[1961-04-17, 1961-04-17, 1961-04-19, 1961-04-19]"
"Cheshire, Connecticut, home invasion murders","[2007-07-23, 2007-07-23, 2007-07-23, 2007-07-23]"
"First Invasion of Onitsha","[1967-10-04, 1967-10-04, 1967-10-12, 1967-10-12]"
"Franco-Dutch Invasion of Jersey","[1779-05-01, 1779-05-01, 1779-05-01, 1779-05-01]"
"French invasion of Russia","[1812-06-24, 1812-06-24, 1812-12-14, 1812-12-14]"
"German invasion of Belgium","[1914-08-04, 1914-08-04, 1914-10-31, 1914-10-31]"
"Indonesian invasion of East Timor","[1975-12-07, 1975-12-07, 1976-07-17, 1976-07-17]"
"Invasion of Algiers (1775)","[1775-07-08, 1775-07-08, 1775-07-08, 1775-07-08]"
"Invasion of Algiers in 1830","[1830-06-14, 1830-06-14, 1830-07-07, 1830-07-07]"
"Invasion of Buna-Gona","[1942-07-21, 1942-07-21, 1942-07-24, 1942-07-24]"
"Invasion of Elba","[1944-06-17, 1944-06-17, 1944-06-19, 1944-06-19]"
"Invasion of England (1326)","[1326-09-24, 1326-09-24, 1326-11-16, 1326-11-16]"
"Invasion of France (1795)","[1795-06-23, 1795-06-23, 1795-07-21, 1795-07-21]"
"Invasion of Grenada","[1983-10-25, 1983-10-25, 1983-12-15, 1983-12-15]"
"Invasion of Guadeloupe (1759)","[1759-01-22, 1759-01-22, 1759-05-01, 1759-05-01]"
"Invasion of Guadeloupe (1810)","[1810-01-28, 1810-01-28, 1810-02-06, 1810-02-06]"
"Invasion of Guadeloupe (1815)","[1815-08-08, 1815-08-08, 1815-08-10, 1815-08-10]"
"Invasion of Hamra al-Asad","[0625-03-24, 0625-03-24, 0625-03-24, 0625-03-24]"
"Invasion of Hvaler","[1814-07-29, 1814-07-29, 1814-07-29, 1814-07-29]"
"Invasion of Isle de France","[1810-11-29, 1810-11-29, 1810-12-03, 1810-12-03]"
