"1975 Spring Offensive","[1974-12-13, 1974-12-13, 1975-04-30, 1975-04-30]"
"1991 Tifariti offensive","[1991-08-04, 1991-08-04, 1991-09-06, 1991-09-06]"
"1997 Vavunathivu Offensive","[1997-03-07, 1997-03-07, 1997-03-07, 1997-03-07]"
"2003–04 Indonesian offensive in Aceh","[2003-05-19, 2003-05-19, 2004-05-13, 2004-05-13]"
"2006 Ramadan Offensive","[2006-09-23, 2006-09-23, 2006-10-22, 2006-10-22]"
"2008 Al-Qaeda offensive in Iraq","[2008-04-15, 2008-04-15, 2008-05-19, 2008-05-19]"
"2009 Eastern Congo offensive","[2009-01-20, 2009-01-20, 2009-02-27, 2009-02-27]"
"2009 Khyber Pass offensive","[2009-09-01, 2009-09-01, 2009-11-30, 2009-11-30]"
"2011 Libyan rebel coastal offensive","[2011-08-13, 2011-08-13, 2011-08-28, 2011-08-28]"
"2012 Abyan offensive","[2012-05-12, 2012-05-12, 2012-06-15, 2012-06-15]"
"2012 Homs offensive","[2012-02-03, 2012-02-03, 2012-04-14, 2012-04-14]"
"2013 Daraa offensive","[2013-03-03, 2013-03-03, 2013-04-10, 2013-04-10]"
"2013 Hama offensive","[2013-04-25, 2013-04-25, 2013-06-15, 2013-06-15]"
"2013 Latakia offensive","[2013-08-04, 2013-08-04, 2013-08-19, 2013-08-19]"
"2014 Latakia offensive","[2014-03-21, 2014-03-21, 2014-06-15, 2014-06-15]"
"Al-Qusayr offensive","[2013-04-04, 2013-04-04, 2013-06-08, 2013-06-08]"
"Aleppo offensive (October–December 2013)","[2013-10-01, 2013-10-01, 2013-12-01, 2013-12-01]"
"Autumn Offensive of 1947 in Northeast China","[1947-09-14, 1947-09-14, 1947-11-05, 1947-11-05]"
"Baltic Offensive","[1944-09-14, 1944-09-14, 1944-11-24, 1944-11-24]"
"Belgrade Offensive","[1944-09-28, 1944-09-28, 1944-10-20, 1944-10-20]"
"Bergmann Offensive","[1914-11-02, 1914-11-02, 1914-11-17, 1914-11-17]"
"Brusilov Offensive","[1916-06-04, 1916-06-04, 1916-09-20, 1916-09-20]"
"Combined Bomber Offensive","[1943-06-10, 1943-06-10, 1945-04-12, 1945-04-12]"
"Crimean Offensive","[1944-04-08, 1944-04-08, 1944-05-12, 1944-05-12]"
"Córdoba offensive","[1936-08-19, 1936-08-19, 1936-08-22, 1936-08-22]"
"Damascus offensive (2013)","[2013-02-06, 2013-02-06, 2013-03-25, 2013-03-25]"
"Dnieper–Carpathian Offensive","[1943-12-24, 1943-12-24, 1944-04-14, 1944-04-14]"
"East Pomeranian Offensive","[1945-02-24, 1945-02-24, 1945-04-04, 1945-04-04]"
"Erzurum Offensive","[1916-01-10, 1916-01-10, 1916-02-16, 1916-02-16]"
"Ethiopian Christmas Offensive","[1935-12-15, 1935-12-15, 1936-01-20, 1936-01-20]"
"First Gulf of Sidra offensive","[2011-03-26, 2011-03-26, 2011-03-30, 2011-03-30]"
"First Jassy–Kishinev Offensive","[1944-04-08, 1944-04-08, 1944-06-06, 1944-06-06]"
"Great Smyrna Offensive","[1922-08-26, 1922-08-26, 1922-09-18, 1922-09-18]"
"Huesca Offensive","[1937-06-12, 1937-06-12, 1937-06-19, 1937-06-19]"
"Hundred Days Offensive","[1918-08-08, 1918-08-08, 1918-11-11, 1918-11-11]"
"Hundred Regiments Offensive","[1940-08-20, 1940-08-20, 1940-12-05, 1940-12-05]"
