"Antonio Peña Memorial Show (2007)","[2007-10-07, 2007-10-07, 2007-10-07, 2007-10-07]"
"Arena Coliseo 70th Anniversary Show","[2013-04-07, 2013-04-07, 2013-04-07, 2013-04-07]"
"Arena Mexico 57th Anniversary Show","[2013-04-26, 2013-04-26, 2013-04-26, 2013-04-26]"
"Arena Naucalpan 33rd Anniversary Show","[2010-12-16, 2010-12-16, 2010-12-16, 2010-12-16]"
"Arena Naucalpan 34th Anniversary Show","[2011-12-22, 2011-12-22, 2011-12-22, 2011-12-22]"
"Arena Naucalpan 35th Anniversary Show","[2012-12-20, 2012-12-20, 2012-12-20, 2012-12-20]"
"Armory Show","[1913-02-17, 1913-02-17, 1913-03-15, 1913-03-15]"
"CMLL 59th Anniversary Show","[1992-09-18, 1992-09-18, 1992-09-18, 1992-09-18]"
"CMLL 66th Anniversary Show","[1999-09-24, 1999-09-24, 1999-09-24, 1999-09-24]"
"CMLL 67th Anniversary Show","[2000-09-29, 2000-09-29, 2000-09-29, 2000-09-29]"
"CMLL 68th Anniversary Show","[2001-09-28, 2001-09-28, 2001-09-28, 2001-09-28]"
"CMLL 69th Anniversary Show","[2002-09-13, 2002-09-13, 2002-09-13, 2002-09-13]"
"CMLL 70th Anniversary Show","[2003-09-19, 2003-09-19, 2003-09-19, 2003-09-19]"
"CMLL 71st Anniversary Show","[2004-09-17, 2004-09-17, 2004-09-17, 2004-09-17]"
"CMLL 73rd Anniversary Show","[2006-09-29, 2006-09-29, 2006-09-29, 2006-09-29]"
"CMLL 75th Anniversary Show","[2008-09-19, 2008-09-19, 2008-09-19, 2008-09-19]"
"CMLL 76th Anniversary Show","[2009-09-18, 2009-09-18, 2009-09-18, 2009-09-18]"
"CMLL 77th Anniversary Show","[2010-09-03, 2010-09-03, 2010-09-03, 2010-09-03]"
"CMLL 78th Anniversary Show","[2011-09-30, 2011-09-30, 2011-09-30, 2011-09-30]"
"CMLL 79th Anniversary Show","[2012-09-14, 2012-09-14, 2012-09-14, 2012-09-14]"
"CMLL 80th Anniversary Show","[2013-09-13, 2013-09-13, 2013-09-13, 2013-09-13]"
"EMLL 11th Anniversary Show","[1944-09-22, 1944-09-22, 1944-09-22, 1944-09-22]"
