"UFC 1","[1993-11-12, 1993-11-12, 1993-11-12, 1993-11-12]"
"UFC 10","[1996-07-12, 1996-07-12, 1996-07-12, 1996-07-12]"
"UFC 100","[2009-07-11, 2009-07-11, 2009-07-11, 2009-07-11]"
"UFC 101","[2009-08-08, 2009-08-08, 2009-08-08, 2009-08-08]"
"UFC 102","[2009-08-29, 2009-08-29, 2009-08-29, 2009-08-29]"
"UFC 103","[2009-09-19, 2009-09-19, 2009-09-19, 2009-09-19]"
"UFC 104","[2009-10-24, 2009-10-24, 2009-10-24, 2009-10-24]"
"UFC 105","[2009-11-14, 2009-11-14, 2009-11-14, 2009-11-14]"
"UFC 106","[2009-11-21, 2009-11-21, 2009-11-21, 2009-11-21]"
"UFC 107","[2009-12-12, 2009-12-12, 2009-12-12, 2009-12-12]"
"UFC 108","[2010-01-02, 2010-01-02, 2010-01-02, 2010-01-02]"
"UFC 109","[2010-02-06, 2010-02-06, 2010-02-06, 2010-02-06]"
"UFC 110","[2010-02-21, 2010-02-21, 2010-02-21, 2010-02-21]"
"UFC 111","[2010-03-27, 2010-03-27, 2010-03-27, 2010-03-27]"
"UFC 112","[2010-04-10, 2010-04-10, 2010-04-10, 2010-04-10]"
"UFC 113","[2010-05-08, 2010-05-08, 2010-05-08, 2010-05-08]"
"UFC 114","[2010-05-29, 2010-05-29, 2010-05-29, 2010-05-29]"
"UFC 116","[2010-07-03, 2010-07-03, 2010-07-03, 2010-07-03]"
"UFC 117","[2010-08-07, 2010-08-07, 2010-08-07, 2010-08-07]"
"UFC 118","[2010-08-28, 2010-08-28, 2010-08-28, 2010-08-28]"
"UFC 12","[1997-02-07, 1997-02-07, 1997-02-07, 1997-02-07]"
"UFC 120","[2010-10-16, 2010-10-16, 2010-10-16, 2010-10-16]"
"UFC 122","[2010-11-13, 2010-11-13, 2010-11-13, 2010-11-13]"
"UFC 123","[2010-11-20, 2010-11-20, 2010-11-20, 2010-11-20]"
"UFC 124","[2010-12-11, 2010-12-11, 2010-12-11, 2010-12-11]"
"UFC 125","[2011-01-01, 2011-01-01, 2011-01-01, 2011-01-01]"
"UFC 126","[2011-02-05, 2011-02-05, 2011-02-05, 2011-02-05]"
"UFC 127","[2011-02-27, 2011-02-27, 2011-02-27, 2011-02-27]"
"UFC 128","[2011-03-19, 2011-03-19, 2011-03-19, 2011-03-19]"
"UFC 129","[2011-04-30, 2011-04-30, 2011-04-30, 2011-04-30]"
"UFC 13","[1997-05-30, 1997-05-30, 1997-05-30, 1997-05-30]"
"UFC 130","[2011-05-28, 2011-05-28, 2011-05-28, 2011-05-28]"
"UFC 131","[2011-06-11, 2011-06-11, 2011-06-11, 2011-06-11]"
"UFC 132","[2011-07-02, 2011-07-02, 2011-07-02, 2011-07-02]"
"UFC 133","[2011-08-06, 2011-08-06, 2011-08-06, 2011-08-06]"
"UFC 134","[2011-08-27, 2011-08-27, 2011-08-27, 2011-08-27]"
"UFC 135","[2011-09-24, 2011-09-24, 2011-09-24, 2011-09-24]"
"UFC 136","[2011-10-08, 2011-10-08, 2011-10-08, 2011-10-08]"
"UFC 137","[2011-10-29, 2011-10-29, 2011-10-29, 2011-10-29]"
"UFC 139","[2011-11-19, 2011-11-19, 2011-11-19, 2011-11-19]"
"UFC 140","[2011-12-10, 2011-12-10, 2011-12-10, 2011-12-10]"
