//******
// Copyright LIMSI-CNRS
// Author: Véronique Moriceau
// E-mail : moriceau@limsi.fr
// Date: 2013-05-27
// Governed by the CeCILL license under French law and abiding by the rules of distribution of free software.
// You can use, modify and/or redistribute the software under the terms of the CeCILL license as circulated by CEA, CNRS and INRIA at the following URL "http://www.cecill.info/licences/Licence_CeCILL_V1.1-US.txt".
//******
// This file contains "unit words" and their normalized expressions.
// For example, the normalized value of "week" is "week"
// FORMAT: "unit-word","normalized-unit-word"
"jours?","day"
"week-ends?","week-WE"
"weekends?","week-WE"
"semaines?","week"
"mois","month"
"trimestres?","quarter"
"années?","year"
"ans?","year"
"décennies?","decade"
"siècles?","century"

// not in reUnit
"heures?","hour"
"minutes?","minute"
