// author: Jannik Strötgen
// email:  stroetgen@uni-hd.de
// date:   2011-06-10
// This file contains "weekday words" and their normalized expressions.
// For example, the normalized value of "Monday" is "monday"
// FORMAT: "weekday-word","normalized-weekday-word"
"thứ hai","monday"
"thứ ba","tuesday"
"thứ tư","wednesday"
"thứ năm","thursday"
"thứ sáu","friday"
"thứ bảy","saturday"
"chủ nhật","sunday"
"Thứ hai","monday"
"Thứ ba","tuesday"
"Thứ tư","wednesday"
"Thứ năm","thursday"
"Thứ sáu","friday"
"Thứ bảy","saturday"
"Chủ nhật","sunday"

